date,email,count_sessions,sum_beacon_value,nunique_beacon_type,count_user_stay,count_pay_attempt,count_buy_click,nunique_gender,nunique_dob,nunique_language,nunique_report_type,nunique_device,profile_submit_count,transactions_amount,conversion_status
2021-06-30,2956626,1,11,2,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-07,3031546,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-05-10,2616071,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-06-23,2897393,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-05,2750097,1,78,1,12,0,0,1,1,1,1,1,1,0.0,0
2021-07-24,1764344,1,4,2,2,1,0,1,1,1,1,1,9,399.0,0
2021-06-05,2751887,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-10,2792763,2,11,2,5,0,0,1,1,1,1,1,2,0.0,0
2021-06-05,2748915,1,1,1,1,0,0,1,1,1,1,1,2,0.0,0
2021-05-25,2682368,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-11,3071012,1,11,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-05,1691857,1,6,1,3,0,0,1,1,1,1,1,14,0.0,0
2021-06-28,2937206,1,1,1,0,0,0,1,1,1,1,1,1,0.0,0
2021-05-21,2176664,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-05-18,2653628,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-15,2900576,1,6,1,3,0,0,1,1,1,1,1,5,0.0,0
2021-06-17,2844938,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-07-24,2371409,1,3,1,2,0,0,1,1,1,1,1,103,0.0,0
2021-05-02,2576430,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-09,772763,1,10,1,4,0,0,1,1,1,1,1,25,0.0,0
2021-06-23,2900146,1,1,1,1,0,0,1,1,1,1,1,1,0.0,0
2021-06-20,2426278,1,9,1,3,0,0,1,1,1,1,1,3,0.0,0
2021-06-12,2777287,1,11,2,4,0,1,1,1,1,1,1,2,0.0,0
2021-07-11,3071358,1,11,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-28,2941866,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-05-30,2703429,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-05-20,664887,1,10,1,4,0,0,1,1,1,1,1,6,0.0,0
2021-07-05,3005695,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-07,2771135,2,18,4,7,0,1,1,1,1,1,1,3,0.0,0
2021-07-22,1777721,1,10,1,4,0,0,1,1,1,1,1,113,0.0,0
2021-07-18,3134045,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-06,2667329,4,227,4,36,0,0,2,2,1,1,1,24,4465.0,0
2021-06-22,2890212,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-12,3080111,1,6,1,3,0,0,1,1,1,1,1,2,0.0,0
2021-07-31,3257243,2,20,2,8,0,0,2,2,1,1,1,3,0.0,0
2021-06-30,2959530,2,14,3,6,0,1,1,2,1,1,1,3,0.0,0
2021-07-06,3015456,3,21,3,9,0,0,1,1,1,1,1,7,0.0,0
2021-05-30,2705278,2,13,2,6,0,0,1,1,2,1,1,2,0.0,0
2021-07-31,3201801,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-26,1645193,1,1,1,1,0,0,1,1,1,1,1,3,0.0,0
2021-07-30,2724841,1,10,1,4,0,0,1,1,1,1,1,14,0.0,0
2021-06-23,2896311,1,1,1,1,0,0,1,1,1,1,1,1,0.0,0
2021-07-28,2206166,1,6,1,3,0,0,1,1,1,1,1,2,0.0,0
2021-06-13,2819695,1,10,1,4,0,0,1,1,1,1,1,6,0.0,0
2021-07-08,3035587,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-25,3201414,2,20,2,8,0,0,1,1,1,1,1,3,0.0,0
2021-07-02,790561,3,10,3,6,0,0,2,2,1,1,1,4,0.0,0
2021-06-25,2894769,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-06-17,1628203,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-16,2958098,1,10,1,4,0,0,1,1,1,1,1,24,0.0,0
2021-05-17,412280,1,11,2,4,0,1,1,1,1,1,1,2,0.0,0
2021-05-20,811008,1,10,1,4,0,0,1,1,1,1,1,0,-1.0,0
2021-05-02,222335,1,10,1,4,0,0,1,1,1,1,1,13,0.0,0
2021-07-12,3079585,1,1,1,0,0,1,1,1,1,1,1,1,0.0,0
2021-07-08,3035996,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-05,3004416,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-11,2289978,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-07-17,3132726,2,20,2,8,0,0,1,1,1,2,1,2,0.0,0
2021-07-16,1199650,1,6,1,3,0,0,1,1,1,1,1,18,0.0,0
2021-05-12,2625569,1,6,1,3,0,0,1,1,1,1,1,5,0.0,0
2021-05-20,114472,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-20,3158454,7,70,7,28,0,0,2,5,1,1,1,10,0.0,0
2021-05-06,8006,1,10,1,4,0,0,1,1,1,1,1,55,0.0,0
2021-05-22,368293,1,10,1,4,0,0,1,1,1,1,1,31,5996.0,0
2021-06-07,50633,3,30,3,12,0,0,1,2,1,1,1,29,0.0,0
2021-07-11,3069169,1,6,1,3,0,0,1,1,1,1,1,2,0.0,0
2021-07-29,3237040,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-07,2772603,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-06-12,2815716,3,31,4,12,0,0,2,3,1,2,1,7,0.0,0
2021-05-19,2654667,1,11,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-06,908329,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-07-04,3001285,1,10,1,4,0,0,1,1,1,1,1,5,0.0,0
2021-06-01,2719354,1,11,2,4,0,0,1,1,1,1,1,10,0.0,0
2021-05-11,2622199,1,2,2,1,0,1,1,1,1,1,1,4,0.0,0
2021-05-21,2665600,2,11,2,5,0,0,1,1,1,1,1,2,0.0,0
2021-05-20,2661393,1,3,1,2,0,0,1,1,1,1,1,2,0.0,0
2021-05-03,2579639,1,6,1,3,0,0,1,1,1,1,1,2,0.0,0
2021-07-06,3009511,1,11,2,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-28,3123044,2,13,2,6,0,0,1,1,1,2,1,15,0.0,0
2021-07-30,2743103,1,6,1,3,0,0,1,1,1,1,1,151,0.0,0
2021-07-20,2760120,1,2,1,2,0,0,1,1,1,1,1,21,0.0,0
2021-06-05,2304133,1,21,1,6,0,0,1,1,1,1,1,2,0.0,0
2021-07-26,2914581,3,31,4,12,0,0,2,3,1,1,1,5,0.0,0
2021-06-18,2851922,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-15,2531108,1,10,1,4,0,0,1,1,1,1,1,16,999.0,0
2021-07-25,3197495,1,6,1,3,0,0,1,1,1,1,1,1,0.0,0
2021-06-26,2921721,3,30,3,12,0,0,1,2,1,1,1,5,0.0,0
2021-05-12,2628770,1,10,1,4,0,0,1,1,1,1,1,0,-1.0,0
2021-07-31,3250974,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-05-20,2659999,3,32,4,12,0,2,2,3,1,1,1,3,0.0,0
2021-05-04,64360,2,20,2,8,0,0,1,1,1,2,1,12,0.0,0
2021-05-06,2599126,1,66,1,11,0,0,1,1,1,1,1,3,0.0,0
2021-06-30,2949151,2,11,2,5,0,0,1,2,1,1,1,10,0.0,0
2021-06-05,2753465,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-05-21,2663129,1,2,2,1,0,1,1,1,1,1,1,1,0.0,0
2021-06-16,16358,1,10,1,4,0,0,1,1,1,1,1,8,999.0,0
2021-06-19,2864880,1,1,1,1,0,0,1,1,1,1,1,2,0.0,0
2021-07-12,2076100,1,11,2,4,0,1,1,1,1,1,1,3,0.0,0
2021-05-19,2655036,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-05-21,2662885,1,10,1,4,0,0,1,1,1,1,1,6,0.0,0
2021-07-11,3066289,1,11,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-05,2749932,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-31,3255180,2,20,2,8,0,0,1,1,1,2,1,6,0.0,0
2021-06-10,2798840,1,21,1,6,0,0,1,1,1,1,1,2,0.0,0
2021-06-30,2963923,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-23,3180198,1,10,1,4,0,0,1,1,1,1,1,23,0.0,0
2021-07-23,3183189,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-05-09,2611099,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-07-16,3115579,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-24,3194884,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-07-04,2999139,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-02,2976582,2,16,2,7,0,0,2,2,1,1,1,2,0.0,0
2021-06-24,2902658,2,18,4,7,0,1,1,1,1,1,1,2,0.0,0
2021-06-05,2750301,2,21,3,8,0,0,1,2,1,1,1,2,0.0,0
2021-07-14,1206545,2,13,2,6,0,0,1,1,1,1,1,5,0.0,0
2021-07-29,5412,1,10,1,4,0,0,1,1,1,1,1,23,0.0,0
2021-06-24,2900460,1,10,2,3,0,0,1,1,1,1,1,1,0.0,0
2021-06-27,26639,1,6,1,3,0,0,1,1,1,1,1,0,-1.0,0
2021-06-20,2868452,1,1,1,1,0,0,1,1,1,1,1,2,0.0,0
2021-05-28,2695063,2,34,2,10,0,0,1,1,1,1,2,3,0.0,0
2021-07-29,3155180,1,10,1,4,0,0,1,1,1,1,1,7,0.0,0
2021-07-10,3060734,2,20,2,8,0,0,1,1,1,1,1,3,0.0,0
2021-07-13,3095017,1,2,2,1,0,1,1,1,1,1,1,1,0.0,0
2021-05-14,2508324,1,55,1,10,0,0,1,1,1,1,1,3,0.0,0
2021-07-25,3190323,1,528,1,32,0,0,1,1,1,1,1,6,0.0,0
2021-06-16,2823144,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-11,3065585,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-29,3241692,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-05-07,708580,1,78,1,12,0,0,1,1,1,1,1,10,0.0,0
2021-06-26,2927104,1,11,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-10,3055994,1,1,1,1,0,0,1,1,1,1,1,1,0.0,0
2021-07-26,2812085,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-05-20,2661917,1,2,2,1,0,1,1,1,1,1,1,1,0.0,0
2021-07-05,2965375,4,31,4,13,0,0,1,3,1,1,1,9,0.0,0
2021-05-19,2657188,1,12,2,4,0,2,1,1,1,1,1,1,0.0,0
2021-06-07,16642,2,31,2,10,0,0,2,2,1,1,1,29,0.0,0
2021-06-07,2769311,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-13,127710,1,1,1,1,0,0,1,1,1,1,1,30,0.0,0
2021-06-21,2882409,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-17,2860750,1,6,1,3,0,0,1,1,1,1,1,4,0.0,0
2021-06-22,2885047,1,11,2,4,0,1,1,1,1,1,1,1,0.0,0
2021-07-07,3022369,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-09,3047445,3,20,6,8,0,1,1,1,1,1,2,5,0.0,0
2021-05-09,134900,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-21,3121482,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-06-07,2765577,4,42,6,16,0,1,1,3,1,1,1,12,0.0,0
2021-06-02,2728393,2,11,2,5,0,0,1,1,2,1,1,3,0.0,0
